"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"36","085","0111","43803",2,40.58027,-74.19832,"WGS84","Chloroform","24 HOUR","","2021-01-28","Parts per billion Carbon","None",1,100.0,0,0,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43803",2,40.58027,-74.19832,"WGS84","Chloroform","24 HOUR","","2021-02-03","Parts per billion Carbon","None",1,100.0,0,0,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43803",2,40.58027,-74.19832,"WGS84","Chloroform","24 HOUR","","2021-02-09","Parts per billion Carbon","None",1,100.0,0,0,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43803",2,40.58027,-74.19832,"WGS84","Chloroform","24 HOUR","","2021-02-15","Parts per billion Carbon","None",1,100.0,0,0,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43803",2,40.58027,-74.19832,"WGS84","Chloroform","24 HOUR","","2021-02-21","Parts per billion Carbon","None",1,100.0,0,0,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43803",2,40.58027,-74.19832,"WGS84","Chloroform","24 HOUR","","2021-02-27","Parts per billion Carbon","None",1,100.0,0,0,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43803",2,40.58027,-74.19832,"WGS84","Chloroform","24 HOUR","","2021-03-05","Parts per billion Carbon","None",1,100.0,0,0,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43803",2,40.58027,-74.19832,"WGS84","Chloroform","24 HOUR","","2021-03-11","Parts per billion Carbon","None",1,100.0,0,0,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43803",2,40.58027,-74.19832,"WGS84","Chloroform","24 HOUR","","2021-03-17","Parts per billion Carbon","None",1,100.0,0,0,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43803",2,40.58027,-74.19832,"WGS84","Chloroform","24 HOUR","","2021-03-23","Parts per billion Carbon","None",1,100.0,0,0,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43803",2,40.58027,-74.19832,"WGS84","Chloroform","24 HOUR","","2021-03-29","Parts per billion Carbon","None",1,100.0,0,0,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-01-04","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-01-10","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-01-16","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-01-22","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-01-28","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-02-03","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-02-09","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-02-15","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-02-21","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-02-27","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-03-05","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-03-11","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-03-17","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-03-23","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43804",2,40.58027,-74.19832,"WGS84","Carbon tetrachloride","24 HOUR","","2021-03-29","Parts per billion Carbon","None",1,100.0,0.1,0.1,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43811",2,40.58027,-74.19832,"WGS84","Trichlorofluoromethane","24 HOUR","","2021-01-04","Parts per billion Carbon","None",1,100.0,0.2,0.2,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43811",2,40.58027,-74.19832,"WGS84","Trichlorofluoromethane","24 HOUR","","2021-01-10","Parts per billion Carbon","None",1,100.0,0.2,0.2,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43811",2,40.58027,-74.19832,"WGS84","Trichlorofluoromethane","24 HOUR","","2021-01-16","Parts per billion Carbon","None",1,100.0,0.2,0.2,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43811",2,40.58027,-74.19832,"WGS84","Trichlorofluoromethane","24 HOUR","","2021-01-22","Parts per billion Carbon","None",1,100.0,0.2,0.2,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43811",2,40.58027,-74.19832,"WGS84","Trichlorofluoromethane","24 HOUR","","2021-01-28","Parts per billion Carbon","None",1,100.0,0.2,0.2,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43811",2,40.58027,-74.19832,"WGS84","Trichlorofluoromethane","24 HOUR","","2021-02-03","Parts per billion Carbon","None",1,100.0,0.2,0.2,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43811",2,40.58027,-74.19832,"WGS84","Trichlorofluoromethane","24 HOUR","","2021-02-09","Parts per billion Carbon","None",1,100.0,0.2,0.2,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
"36","085","0111","43811",2,40.58027,-74.19832,"WGS84","Trichlorofluoromethane","24 HOUR","","2021-02-15","Parts per billion Carbon","None",1,100.0,0.2,0.2,0,"","150","SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS","FRESHKILLS WEST","FRESHKILLS WEST   310 West Service Road","New York","Richmond","New York","New York-Newark-Jersey City, NY-NJ-PA","2021-04-27"
